wet_bulb_temperature,risk_level
25.6,3
26.4,2
26.2,2
26.0,2
26.0,2
25.9,3
26.1,2
26.2,2
26.3,2
26.2,2
26.3,2
26.4,2
23.4,4
23.2,4
23.4,4
23.8,4
24.8,4
26.0,2
26.7,2
26.8,2
25.6,3
25.6,3
26.0,2
26.1,2
26.2,2
26.2,2
26.1,2
26.3,2
25.9,3
26.0,2
26.1,2
26.2,2
26.1,2
25.8,3
25.8,3
25.8,3
25.9,3
26.1,2
26.1,2
25.4,3
25.9,3
26.1,2
26.2,2
26.6,2
26.7,2
26.2,2
26.8,2
25.7,3
25.5,3
25.4,3
25.0,3
25.1,3
25.7,3
26.4,2
26.5,2
26.3,2
26.5,2
26.3,2
26.3,2
26.3,2
26.2,2
22.7,4
24.0,4
25.4,3
26.1,2
26.3,2
25.6,3
26.3,2
25.6,3
24.7,4
24.4,4
24.8,4
24.1,4
24.3,4
23.6,4
24.2,4
25.5,3
25.3,3
25.1,3
25.3,3
25.3,3
25.9,3
25.9,3
25.8,3
25.9,3
25.6,3
25.8,3
26.4,2
26.3,2
26.5,2
26.2,2
26.4,2
25.8,3
26.3,2
26.0,2
25.8,3
25.8,3
26.2,2
25.6,3
25.7,3
25.9,3
26.1,2
26.0,2
25.8,3
26.3,2
26.3,2
26.6,2
26.6,2
26.2,2
26.1,2
26.3,2
26.3,2
26.3,2
26.9,2
26.5,2
26.6,2
25.3,3
25.7,3
24.2,4
25.0,3
25.9,3
26.4,2
25.4,3
25.9,3
26.1,2
26.0,2
25.7,3
25.9,3
26.0,2
25.9,3
25.8,3
25.7,3
25.8,3
25.7,3
25.8,3
26.2,2
26.3,2
26.8,2
26.7,2
26.6,2
26.5,2
26.5,2
25.1,3
26.1,2
26.2,2
26.3,2
25.9,3
26.1,2
26.3,2
26.2,2
26.3,2
26.2,2
26.2,2
25.8,3
25.6,3
25.8,3
25.8,3
25.9,3
26.0,2
26.2,2
26.4,2
26.4,2
24.7,4
25.0,3
24.4,4
24.3,4
24.7,4
24.8,4
24.8,4
25.0,3
23.2,4
22.4,4
22.7,4
22.9,4
23.7,4
23.7,4
23.3,4
23.5,4
23.6,4
24.0,4
25.1,3
25.1,3
24.9,4
25.0,3
24.8,4
25.5,3
25.4,3
26.0,2
26.0,2
25.6,3
25.8,3
25.9,3
25.4,3
26.1,2
26.0,2
25.3,3
24.6,4
24.1,4
24.3,4
24.4,4
24.2,4
24.6,4
24.8,4
24.8,4
25.1,3
25.1,3
25.3,3
25.7,3
26.4,2
25.9,3
26.2,2
26.1,2
25.6,3
26.0,2
25.7,3
25.9,3
26.2,2
25.8,3
25.7,3
25.2,3
24.7,4
24.3,4
24.8,4
24.9,4
25.4,3
25.6,3
25.3,3
24.7,4
24.7,4
25.0,3
25.3,3
25.8,3
26.0,2
26.3,2
26.0,2
25.9,3
25.8,3
25.3,3
25.1,3
25.0,3
25.0,3
25.9,3
26.2,2
26.2,2
25.8,3
25.8,3
25.4,3
25.6,3
25.4,3
25.2,3
25.3,3
25.1,3
25.2,3
25.3,3
25.4,3
25.6,3
25.7,3
25.8,3
26.0,2
26.1,2
25.9,3
25.8,3
25.6,3
26.1,2
25.9,3
26.1,2
25.5,3
25.6,3
25.5,3
25.8,3
25.8,3
25.8,3
26.0,2
26.0,2
25.8,3
25.6,3
25.7,3
25.6,3
25.6,3
25.7,3
23.8,4
24.4,4
24.3,4
25.0,3
25.0,3
24.9,4
25.0,3
24.4,4
24.5,4
24.5,4
24.1,4
24.5,4
24.8,4
24.9,4
25.0,3
25.1,3
25.1,3
25.2,3
25.2,3
25.3,3
25.1,3
25.3,3
25.4,3
25.5,3
25.3,3
25.4,3
24.5,4
24.5,4
25.7,3
25.6,3
25.1,3
25.5,3
25.8,3
25.5,3
24.1,4
24.0,4
24.8,4
24.9,4
25.0,3
24.9,4
25.0,3
25.0,3
25.1,3
24.6,4
24.9,4
25.4,3
25.2,3
25.5,3
25.4,3
23.6,4
23.8,4
24.2,4
24.0,4
24.8,4
24.6,4
24.2,4
24.1,4
24.6,4
24.5,4
24.5,4
23.9,4
24.3,4
24.1,4
24.8,4
24.4,4
24.7,4
24.7,4
24.7,4
24.8,4
24.3,4
24.8,4
24.6,4
24.9,4
24.5,4
24.6,4
25.0,3
25.0,3
25.0,3
24.1,4
24.7,4
24.3,4
24.1,4
23.7,4
24.5,4
24.6,4
24.9,4
25.0,3
25.0,3
25.1,3
25.3,3
25.3,3
25.2,3
25.3,3
25.4,3
24.9,4
25.3,3
25.8,3
25.8,3
26.2,2
26.2,2
26.0,2
25.5,3
25.6,3
25.7,3
25.1,3
25.4,3
24.9,4
24.7,4
24.8,4
25.0,3
25.2,3
25.4,3
25.3,3
25.1,3
24.7,4
24.8,4
24.7,4
24.8,4
24.9,4
25.2,3
25.2,3
25.7,3
26.0,2
26.4,2
25.7,3
25.8,3
25.5,3
25.4,3
25.7,3
25.4,3
24.9,4
25.4,3
25.5,3
25.5,3
25.4,3
25.1,3
25.1,3
25.0,3
24.9,4
24.8,4
24.9,4
25.0,3
25.0,3
25.2,3
24.9,4
25.5,3
25.3,3
25.9,3
25.5,3
26.1,2
25.8,3
25.1,3
25.2,3
25.3,3
25.4,3
25.4,3
25.4,3
25.4,3
25.5,3
25.4,3
25.5,3
25.5,3
25.5,3
25.5,3
25.6,3
25.7,3
25.7,3
25.8,3
26.2,2
26.5,2
25.9,3
25.5,3
25.2,3
25.6,3
25.5,3
25.4,3
25.5,3
25.6,3
25.7,3
25.6,3
25.7,3
25.6,3
25.5,3
25.5,3
25.3,3
25.6,3
25.4,3
25.5,3
25.3,3
25.4,3
25.4,3
25.2,3
24.4,4
25.4,3
25.1,3
25.4,3
25.6,3
26.2,2
25.8,3
25.9,3
25.7,3
25.6,3
25.5,3
25.4,3
25.6,3
26.0,2
25.8,3
25.8,3
22.0,4
21.5,4
21.9,4
22.1,4
23.4,4
23.6,4
23.7,4
24.1,4
24.5,4
24.7,4
25.2,3
25.2,3
25.3,3
25.5,3
25.3,3
25.5,3
25.2,3
25.2,3
25.6,3
25.5,3
25.5,3
25.0,3
25.0,3
25.1,3
25.2,3
25.2,3
25.3,3
25.5,3
25.5,3
25.6,3
25.7,3
25.9,3
25.7,3
26.0,2
26.5,2
26.4,2
26.0,2
25.5,3
26.0,2
26.1,2
25.8,3
25.7,3
25.0,3
25.3,3
25.9,3
25.8,3
26.1,2
25.9,3
25.8,3
25.8,3
25.9,3
25.9,3
25.2,3
25.0,3
25.1,3
25.6,3
25.9,3
25.9,3
26.2,2
26.2,2
25.4,3
26.0,2
25.5,3
25.2,3
25.1,3
24.9,4
25.8,3
26.1,2
26.2,2
26.2,2
26.2,2
25.4,3
25.7,3
25.8,3
26.0,2
26.0,2
26.0,2
26.2,2
26.0,2
26.1,2
26.4,2
26.3,2
25.9,3
26.0,2
26.1,2
25.6,3
25.7,3
26.3,2
25.7,3
25.7,3
25.4,3
25.8,3
25.5,3
25.4,3
25.5,3
25.3,3
25.3,3
25.6,3
25.8,3
25.8,3
25.9,3
25.8,3
25.8,3
25.9,3
26.0,2
25.9,3
26.2,2
26.1,2
25.4,3
25.6,3
25.7,3
25.6,3
25.6,3
25.6,3
25.2,3
25.1,3
26.0,2
26.3,2
26.2,2
26.3,2
26.4,2
26.3,2
26.2,2
26.3,2
26.1,2
25.9,3
25.9,3
25.9,3
26.2,2
26.3,2
26.1,2
26.4,2
25.8,3
25.9,3
26.3,2
26.1,2
25.9,3
25.4,3
26.5,2
26.4,2
26.4,2
26.3,2
26.2,2
26.3,2
26.3,2
26.4,2
26.2,2
26.2,2
25.9,3
26.0,2
26.1,2
26.3,2
26.2,2
26.5,2
26.3,2
26.5,2
26.1,2
25.5,3
25.1,3
25.4,3
25.7,3
26.5,2
26.0,2
26.2,2
26.1,2
25.6,3
25.8,3
26.0,2
26.0,2
25.7,3
25.7,3
25.9,3
26.0,2
26.1,2
25.6,3
25.8,3
26.1,2
25.9,3
25.5,3
25.7,3
25.5,3
25.9,3
25.8,3
26.0,2
26.3,2
26.0,2
25.9,3
25.6,3
24.9,4
25.4,3
25.3,3
25.4,3
25.5,3
25.6,3
25.4,3
25.4,3
25.5,3
25.6,3
25.7,3
25.9,3
26.0,2
25.9,3
25.5,3
25.8,3
25.8,3
25.5,3
25.9,3
26.3,2
24.9,4
24.7,4
26.2,2
26.0,2
25.9,3
25.8,3
25.8,3
25.6,3
25.2,3
25.4,3
25.4,3
25.3,3
25.3,3
25.5,3
25.5,3
25.6,3
25.5,3
25.8,3
23.7,4
25.4,3
25.5,3
25.6,3
24.6,4
25.2,3
25.8,3
25.3,3
25.2,3
25.7,3
25.9,3
26.1,2
26.1,2
25.4,3
25.7,3
25.5,3
25.7,3
25.9,3
25.7,3
25.5,3
25.5,3
26.0,2
24.0,4
24.2,4
25.1,3
25.2,3
25.8,3
26.0,2
25.2,3
25.9,3
25.9,3
25.7,3
25.6,3
25.3,3
25.4,3
25.5,3
25.6,3
25.6,3
25.5,3
25.4,3
25.6,3
25.7,3
25.6,3
25.5,3
25.6,3
25.7,3
25.7,3
25.8,3
26.1,2
26.2,2
25.5,3
25.6,3
25.5,3
26.2,2
25.8,3
24.9,4
24.2,4
23.4,4
23.8,4
24.4,4
24.2,4
24.2,4
24.6,4
24.7,4
24.9,4
25.1,3
25.0,3
25.2,3
25.4,3
25.7,3
26.0,2
26.1,2
26.5,2
26.5,2
26.6,2
24.5,4
23.4,4
21.9,4
23.4,4
23.2,4
24.5,4
24.8,4
25.5,3
25.6,3
25.2,3
25.2,3
25.3,3
25.4,3
25.5,3
25.5,3
25.5,3
25.2,3
25.5,3
25.8,3
25.9,3
26.3,2
25.1,3
25.8,3
25.9,3
26.0,2
26.1,2
25.7,3
25.9,3
26.0,2
26.1,2
25.2,3
25.2,3
25.0,3
25.1,3
25.3,3
25.3,3
25.3,3
25.5,3
25.1,3
25.0,3
25.2,3
25.3,3
25.4,3
25.4,3
25.1,3
25.5,3
24.9,4
24.0,4
25.2,3
25.7,3
26.0,2
25.5,3
25.6,3
25.5,3
25.7,3
24.6,4
25.0,3
25.3,3
25.7,3
24.4,4
24.9,4
25.4,3
25.6,3
25.2,3
25.4,3
25.3,3
25.1,3
26.0,2
25.4,3
25.3,3
25.4,3
25.7,3
24.6,4
23.0,4
23.5,4
24.0,4
25.2,3
25.5,3
25.6,3
25.8,3
25.7,3
26.3,2
26.3,2
26.2,2
25.6,3
25.5,3
25.5,3
25.6,3
25.9,3
25.7,3
25.9,3
26.2,2
26.4,2
26.4,2
24.0,4
24.6,4
24.8,4
24.4,4
22.7,4
23.7,4
24.2,4
23.6,4
23.8,4
23.9,4
24.1,4
24.3,4
24.6,4
24.1,4
24.2,4
24.5,4
24.2,4
24.1,4
24.2,4
24.0,4
25.0,3
25.5,3
24.6,4
25.2,3
24.8,4
25.1,3
25.7,3
25.4,3
25.3,3
25.3,3
25.0,3
24.4,4
24.8,4
24.6,4
24.6,4
24.1,4
24.3,4
24.6,4
24.5,4
24.1,4
24.1,4
24.1,4
24.2,4
24.1,4
24.6,4
24.7,4
24.6,4
26.0,2
25.5,3
25.3,3
25.0,3
25.9,3
25.2,3
25.6,3
25.4,3
25.4,3
25.5,3
26.0,2
25.9,3
26.1,2
26.0,2
26.0,2
26.0,2
25.8,3
25.6,3
25.6,3
25.7,3
25.6,3
25.8,3
25.9,3
26.4,2
27.2,1
26.1,2
26.1,2
26.0,2
25.6,3
25.7,3
26.3,2
25.7,3
25.8,3
25.0,3
25.4,3
24.5,4
24.4,4
24.8,4
25.8,3
25.8,3
25.9,3
25.9,3
25.7,3
25.8,3
25.6,3
25.9,3
26.0,2
26.1,2
26.5,2
25.7,3
24.6,4
24.8,4
25.6,3
24.9,4
24.3,4
25.1,3
25.5,3
25.6,3
25.2,3
24.7,4
24.5,4
24.3,4
24.5,4
24.6,4
24.9,4
25.0,3
25.0,3
25.0,3
25.2,3
25.1,3
25.4,3
26.0,2
26.5,2
24.6,4
24.7,4
25.1,3
25.6,3
25.5,3
25.1,3
25.1,3
24.4,4
24.2,4
23.9,4
24.2,4
24.4,4
24.4,4
24.5,4
24.5,4
24.6,4
24.4,4
24.4,4
24.7,4
24.8,4
25.5,3
25.5,3
24.8,4
25.3,3
26.2,2
25.8,3
25.2,3
25.0,3
25.2,3
24.4,4
25.3,3
25.4,3
25.4,3
25.0,3
24.9,4
25.0,3
25.1,3
25.3,3
25.3,3
25.1,3
25.1,3
25.3,3
25.3,3
25.4,3
25.6,3
25.8,3
25.8,3
25.0,3
24.8,4
23.5,4
24.8,4
24.2,4
24.7,4
25.1,3
24.5,4
24.1,4
23.2,4
23.3,4
23.4,4
23.4,4
23.4,4
23.5,4
23.5,4
23.6,4
23.7,4
24.1,4
24.2,4
24.2,4
24.6,4
25.3,3
25.3,3
25.6,3
24.8,4
24.6,4
23.8,4
25.4,3
24.3,4
23.4,4
23.4,4
24.3,4
24.4,4
24.6,4
25.4,3
25.0,3
24.8,4
25.2,3
25.2,3
25.0,3
24.9,4
25.2,3
24.9,4
25.2,3
25.4,3
26.1,2
21.7,4
23.9,4
24.0,4
24.7,4
24.8,4
24.7,4
23.4,4
23.9,4
24.1,4
24.1,4
24.2,4
24.1,4
24.1,4
24.4,4
24.7,4
24.6,4
24.8,4
24.9,4
24.7,4
25.3,3
25.6,3
23.0,4
23.3,4
23.6,4
25.2,3
25.3,3
25.0,3
24.9,4
24.1,4
25.1,3
25.2,3
25.3,3
25.0,3
24.6,4
24.8,4
24.9,4
24.9,4
25.0,3
24.8,4
24.9,4
25.2,3
25.2,3
25.2,3
25.1,3
24.9,4
25.1,3
25.1,3
23.2,4
22.5,4
22.7,4
22.9,4
23.6,4
23.7,4
23.7,4
23.9,4
24.0,4
24.1,4
23.8,4
23.9,4
24.1,4
24.2,4
24.3,4
24.3,4
24.0,4
24.1,4
23.7,4
24.4,4
24.4,4
24.2,4
24.1,4
25.1,3
24.7,4
24.1,4
24.4,4
24.6,4
24.9,4
24.7,4
24.9,4
24.6,4
24.2,4
24.4,4
24.7,4
24.5,4
23.8,4
24.0,4
24.5,4
25.0,3
24.7,4
25.0,3
25.0,3
25.1,3
25.1,3
24.9,4
24.7,4
24.7,4
25.1,3
25.3,3
25.4,3
25.4,3
25.4,3
25.2,3
25.4,3
25.4,3
24.5,4
24.2,4
23.8,4
24.5,4
23.9,4
24.3,4
24.6,4
24.8,4
24.8,4
24.8,4
24.8,4
25.0,3
25.2,3
24.9,4
25.1,3
25.6,3
25.8,3
25.8,3
25.7,3
24.0,4
25.4,3
24.7,4
24.7,4
24.9,4
25.2,3
25.2,3
25.0,3
24.9,4
25.0,3
25.2,3
25.4,3
25.5,3
25.5,3
25.5,3
25.5,3
25.3,3
25.3,3
25.4,3
22.4,4
23.8,4
23.6,4
24.2,4
25.2,3
25.4,3
25.4,3
25.1,3
24.9,4
24.6,4
24.9,4
24.8,4
24.2,4
24.4,4
24.6,4
24.6,4
24.7,4
25.0,3
24.8,4
24.6,4
24.8,4
24.6,4
24.6,4
24.6,4
24.3,4
24.6,4
24.4,4
25.4,3
25.4,3
23.3,4
24.9,4
25.5,3
25.2,3
25.1,3
24.9,4
24.7,4
24.2,4
24.4,4
24.8,4
24.9,4
25.1,3
25.1,3
25.1,3
25.2,3
25.1,3
25.1,3
24.9,4
24.9,4
25.1,3
25.2,3
24.4,4
24.7,4
25.1,3
25.3,3
25.5,3
25.9,3
25.6,3
24.1,4
23.3,4
22.9,4
24.2,4
23.2,4
23.0,4
23.9,4
24.0,4
24.0,4
23.8,4
23.8,4
24.5,4
24.3,4
24.3,4
24.0,4
24.5,4
24.4,4
25.1,3
25.3,3
25.0,3
24.6,4
25.3,3
24.6,4
25.0,3
25.0,3
24.3,4
24.0,4
24.3,4
24.1,4
24.4,4
24.5,4
24.3,4
24.0,4
24.2,4
24.2,4
24.1,4
24.2,4
24.2,4
24.2,4
24.3,4
24.6,4
24.9,4
25.0,3
25.1,3
25.4,3
24.2,4
25.2,3
25.5,3
25.3,3
25.8,3
25.0,3
24.4,4
24.7,4
25.2,3
25.3,3
25.1,3
24.9,4
24.8,4
25.0,3
25.1,3
24.8,4
25.0,3
24.8,4
25.2,3
25.4,3
25.5,3
25.5,3
25.1,3
25.2,3
24.6,4
25.0,3
25.1,3
25.0,3
24.2,4
24.5,4
24.4,4
24.8,4
24.7,4
24.4,4
24.6,4
24.7,4
25.0,3
25.0,3
24.8,4
24.7,4
24.9,4
25.0,3
25.1,3
25.4,3
25.4,3
25.5,3
25.4,3
25.0,3
25.2,3
25.3,3
25.5,3
24.7,4
25.2,3
25.0,3
24.8,4
24.6,4
25.1,3
25.0,3
24.9,4
25.0,3
25.1,3
25.0,3
24.6,4
24.3,4
24.2,4
24.4,4
24.6,4
24.9,4
25.2,3
25.8,3
25.6,3
24.1,4
24.4,4
24.4,4
23.9,4
23.8,4
24.2,4
24.9,4
24.9,4
25.0,3
25.0,3
24.7,4
24.6,4
24.6,4
24.7,4
24.6,4
23.9,4
24.0,4
24.3,4
24.6,4
24.5,4
24.9,4
25.1,3
24.0,4
24.3,4
23.5,4
23.8,4
24.3,4
24.2,4
23.9,4
23.9,4
23.9,4
24.4,4
24.1,4
24.3,4
24.7,4
24.6,4
24.3,4
24.5,4
24.9,4
25.1,3
24.9,4
24.8,4
24.7,4
24.8,4
25.1,3
25.1,3
24.8,4
24.7,4
23.8,4
24.6,4
24.4,4
24.4,4
24.7,4
24.6,4
24.8,4
24.5,4
24.7,4
24.6,4
24.7,4
24.5,4
24.5,4
24.7,4
24.7,4
24.6,4
24.7,4
24.9,4
24.8,4
24.8,4
25.1,3
25.2,3
25.4,3
24.6,4
25.4,3
25.1,3
25.3,3
24.4,4
24.1,4
24.6,4
23.0,4
23.2,4
23.6,4
24.1,4
24.2,4
23.9,4
23.7,4
23.9,4
23.9,4
24.1,4
24.1,4
24.1,4
24.1,4
24.2,4
24.8,4
24.6,4
24.7,4
25.4,3
25.8,3
24.8,4
25.1,3
24.8,4
24.6,4
25.1,3
24.2,4
23.9,4
24.5,4
24.2,4
24.4,4
24.7,4
24.6,4
24.5,4
24.4,4
24.1,4
24.3,4
24.4,4
24.3,4
24.3,4
24.3,4
25.4,3
25.2,3
25.0,3
24.5,4
25.1,3
25.4,3
25.8,3
25.4,3
24.9,4
25.2,3
23.6,4
22.6,4
22.9,4
23.0,4
23.2,4
23.4,4
23.7,4
23.9,4
23.8,4
23.0,4
22.2,4
22.6,4
22.9,4
23.3,4
24.3,4
24.5,4
24.7,4
25.6,3
25.4,3
25.4,3
23.8,4
25.6,3
24.9,4
25.1,3
25.0,3
24.9,4
24.7,4
24.7,4
24.7,4
25.0,3
24.9,4
24.9,4
24.9,4
24.8,4
24.7,4
24.8,4
24.8,4
25.0,3
25.2,3
25.3,3
25.4,3
25.6,3
25.4,3
25.2,3
25.1,3
24.3,4
24.3,4
24.6,4
24.6,4
24.8,4
24.7,4
24.7,4
24.7,4
24.9,4
24.8,4
24.8,4
24.7,4
24.5,4
24.5,4
24.3,4
24.5,4
25.5,3
24.8,4
25.1,3
25.0,3
25.9,3
24.7,4
24.7,4
24.9,4
25.1,3
24.0,4
24.5,4
24.9,4
25.1,3
25.5,3
25.4,3
25.1,3
25.2,3
25.2,3
25.0,3
24.8,4
24.5,4
24.5,4
24.6,4
24.5,4
25.5,3
25.9,3
26.1,2
26.4,2
26.5,2
26.3,2
25.4,3
24.8,4
24.3,4
24.7,4
24.4,4
25.2,3
25.3,3
25.5,3
25.4,3
25.2,3
25.4,3
25.3,3
25.4,3
25.1,3
24.9,4
25.0,3
25.0,3
25.2,3
25.9,3
25.9,3
25.1,3
25.7,3
25.0,3
25.5,3
24.5,4
24.8,4
25.5,3
25.5,3
24.2,4
24.1,4
25.1,3
25.5,3
25.5,3
25.4,3
25.0,3
25.1,3
25.2,3
25.3,3
25.3,3
25.1,3
25.0,3
24.9,4
25.4,3
25.8,3
25.1,3
25.8,3
26.0,2
26.3,2
26.1,2
26.2,2
24.5,4
24.6,4
24.2,4
24.3,4
25.0,3
24.9,4
25.1,3
25.4,3
25.4,3
25.7,3
25.6,3
25.5,3
25.4,3
25.6,3
25.3,3
25.4,3
26.2,2
26.6,2
25.7,3
25.7,3
27.1,1
26.0,2
25.2,3
24.9,4
26.1,2
26.2,2
25.9,3
25.7,3
25.9,3
25.7,3
25.8,3
25.9,3
25.8,3
25.8,3
25.9,3
25.7,3
25.6,3
25.6,3
25.4,3
25.3,3
25.6,3
25.5,3
25.9,3
25.4,3
25.9,3
24.7,4
25.0,3
24.8,4
25.3,3
25.4,3
25.1,3
25.0,3
24.9,4
25.7,3
25.6,3
25.7,3
25.7,3
25.5,3
25.7,3
25.6,3
25.1,3
25.4,3
25.0,3
24.9,4
25.3,3
25.3,3
25.8,3
25.8,3
26.6,2
26.6,2
26.0,2
25.8,3
25.8,3
25.2,3
25.2,3
25.1,3
25.1,3
25.1,3
25.0,3
25.6,3
25.3,3
25.2,3
25.0,3
25.0,3
25.1,3
25.2,3
25.2,3
25.0,3
25.4,3
25.4,3
25.7,3
25.5,3
26.2,2
26.6,2
25.7,3
26.2,2
26.1,2
25.0,3
24.9,4
25.0,3
25.7,3
26.0,2
25.9,3
25.1,3
25.3,3
25.3,3
25.4,3
25.2,3
25.3,3
25.2,3
25.3,3
25.2,3
25.3,3
25.4,3
25.9,3
26.2,2
26.8,2
26.0,2
25.8,3
25.5,3
25.7,3
26.0,2
25.5,3
24.1,4
24.8,4
25.1,3
25.4,3
25.5,3
25.6,3
25.4,3
25.1,3
24.7,4
25.1,3
25.1,3
25.0,3
25.2,3
25.9,3
25.7,3
25.9,3
25.4,3
25.5,3
25.7,3
24.6,4
25.5,3
25.7,3
25.6,3
25.7,3
25.5,3
25.0,3
25.4,3
25.8,3
25.5,3
25.0,3
24.7,4
25.0,3
25.8,3
25.9,3
25.7,3
25.5,3
25.5,3
25.6,3
26.1,2
26.5,2
25.2,3
25.5,3
25.4,3
25.9,3
25.2,3
25.9,3
25.0,3
23.5,4
25.1,3
25.0,3
25.6,3
25.6,3
25.6,3
25.7,3
25.6,3
25.7,3
25.8,3
25.8,3
25.6,3
25.8,3
25.9,3
26.3,2
25.9,3
25.7,3
26.0,2
25.9,3
25.5,3
25.1,3
24.6,4
22.0,4
22.5,4
24.0,4
24.2,4
24.4,4
25.2,3
25.8,3
25.8,3
25.8,3
25.7,3
25.8,3
25.6,3
25.6,3
25.7,3
25.7,3
25.9,3
26.2,2
25.8,3
25.9,3
26.3,2
26.5,2
25.2,3
24.3,4
23.0,4
24.1,4
23.6,4
23.7,4
23.4,4
23.0,4
25.0,3
25.3,3
25.7,3
25.6,3
25.6,3
25.7,3
25.4,3
25.4,3
25.5,3
25.6,3
25.6,3
26.3,2
26.3,2
26.0,2
26.0,2
26.1,2
25.8,3
25.0,3
25.0,3
25.5,3
24.0,4
24.7,4
25.0,3
24.4,4
24.9,4
24.9,4
25.0,3
24.7,4
24.8,4
24.8,4
25.1,3
25.3,3
25.5,3
25.7,3
25.8,3
26.1,2
25.7,3
26.4,2
26.1,2
24.5,4
25.1,3
24.6,4
24.9,4
24.6,4
24.9,4
25.3,3
24.6,4
24.4,4
24.4,4
24.5,4
24.6,4
24.9,4
25.0,3
24.9,4
24.8,4
24.5,4
24.6,4
24.4,4
24.6,4
25.3,3
25.7,3
26.1,2
25.3,3
26.3,2
26.7,2
25.8,3
25.6,3
25.9,3
25.1,3
25.4,3
25.3,3
25.3,3
25.5,3
25.3,3
25.3,3
25.0,3
25.2,3
25.4,3
25.4,3
25.1,3
25.1,3
25.2,3
24.7,4
23.8,4
23.6,4
24.6,4
24.7,4
25.8,3
24.9,4
24.8,4
25.2,3
25.8,3
24.7,4
25.0,3
24.9,4
24.6,4
24.8,4
24.6,4
24.7,4
24.7,4
24.5,4
24.3,4
24.6,4
24.7,4
24.2,4
24.1,4
24.0,4
24.8,4
25.1,3
25.5,3
25.1,3
24.9,4
25.7,3
25.4,3
25.2,3
25.8,3
24.3,4
23.9,4
23.8,4
24.1,4
24.4,4
24.6,4
24.7,4
24.6,4
24.6,4
24.7,4
24.7,4
24.9,4
24.4,4
24.2,4
24.4,4
25.4,3
25.4,3
25.6,3
26.1,2
25.4,3
25.8,3
25.5,3
25.4,3
24.5,4
24.4,4
24.1,4
24.3,4
24.4,4
25.3,3
24.6,4
24.4,4
24.4,4
24.5,4
24.5,4
24.5,4
24.3,4
24.2,4
24.1,4
24.2,4
24.2,4
24.5,4
24.6,4
25.2,3
25.1,3
25.6,3
25.3,3
25.4,3
25.6,3
25.0,3
23.0,4
23.5,4
24.5,4
25.0,3
24.7,4
24.5,4
24.8,4
25.0,3
25.2,3
25.1,3
23.8,4
23.6,4
23.1,4
23.7,4
23.7,4
24.2,4
24.4,4
25.0,3
25.0,3
24.2,4
25.2,3
25.5,3
25.2,3
25.2,3
25.3,3
25.1,3
25.3,3
25.4,3
25.2,3
25.5,3
25.4,3
25.3,3
25.3,3
25.2,3
25.0,3
25.1,3
23.8,4
23.5,4
23.5,4
23.9,4
24.3,4
24.4,4
24.6,4
24.6,4
24.6,4
24.8,4
24.5,4
24.7,4
24.9,4
24.3,4
24.4,4
24.4,4
24.5,4
24.8,4
24.6,4
24.6,4
24.6,4
24.5,4
24.2,4
24.3,4
24.4,4
24.3,4
24.9,4
24.7,4
25.2,3
25.3,3
25.6,3
25.9,3
26.4,2
25.7,3
24.9,4
25.3,3
25.5,3
26.0,2
24.9,4
25.2,3
25.2,3
25.0,3
25.2,3
25.3,3
24.8,4
25.1,3
25.1,3
25.0,3
24.6,4
24.6,4
25.5,3
25.9,3
25.6,3
25.5,3
24.1,4
24.9,4
25.4,3
23.1,4
24.7,4
25.4,3
25.0,3
24.8,4
24.7,4
25.0,3
25.3,3
25.3,3
25.4,3
25.1,3
25.0,3
24.7,4
24.5,4
24.6,4
24.5,4
24.5,4
25.0,3
25.4,3
25.4,3
25.4,3
25.1,3
23.0,4
24.2,4
24.5,4
25.6,3
25.6,3
25.0,3
25.2,3
24.9,4
24.9,4
24.9,4
25.0,3
25.3,3
25.5,3
25.6,3
24.9,4
23.5,4
22.9,4
22.9,4
22.8,4
23.6,4
23.8,4
24.3,4
24.4,4
25.1,3
24.6,4
25.2,3
24.5,4
24.3,4
24.1,4
24.1,4
24.0,4
24.1,4
23.6,4
24.1,4
24.7,4
24.6,4
24.7,4
24.6,4
24.5,4
24.5,4
23.4,4
23.6,4
23.5,4
24.1,4
25.1,3
24.9,4
25.7,3
25.8,3
25.0,3
25.7,3
25.2,3
24.5,4
24.0,4
23.6,4
23.7,4
24.2,4
24.6,4
24.6,4
24.6,4
24.5,4
24.4,4
24.3,4
24.5,4
24.6,4
24.7,4
25.0,3
24.8,4
25.9,3
25.5,3
26.3,2
26.1,2
26.0,2
25.7,3
25.5,3
25.8,3
25.4,3
25.7,3
25.5,3
25.4,3
25.5,3
25.6,3
25.8,3
25.7,3
25.8,3
25.7,3
25.7,3
25.5,3
25.7,3
25.8,3
25.8,3
25.9,3
24.6,4
26.4,2
25.8,3
25.8,3
25.8,3
25.3,3
25.2,3
26.0,2
25.5,3
23.6,4
24.9,4
25.0,3
25.2,3
26.1,2
25.0,3
25.5,3
26.0,2
25.5,3
25.5,3
25.1,3
24.7,4
24.9,4
24.1,4
24.0,4
24.8,4
25.8,3
26.0,2
26.0,2
25.3,3
26.2,2
26.1,2
26.5,2
24.1,4
26.4,2
24.7,4
25.0,3
25.2,3
25.2,3
25.4,3
25.4,3
25.3,3
25.2,3
25.0,3
25.0,3
25.1,3
25.2,3
25.6,3
25.5,3
26.1,2
26.1,2
25.7,3
25.6,3
26.7,2
25.7,3
25.7,3
23.5,4
23.5,4
23.8,4
24.2,4
